TITLE="EPhi"
VARIABLES="x", "y", "EPhi"
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0.00579436 0.0010217 -1096.64
0.00772582 0.00136227 -1171.35
0.00965727 0.00170284 -1217.27
0.0115887 0.00204341 -1209.77
0.0135202 0.00238397 -1135.85
0.0154516 0.00272454 -1013.74
0.0173831 0.00306511 -859.685
0.0193145 0.00340568 -669.513
0.021246 0.00374624 -437.697
0.0231775 0.00408681 -178.297
0.0251089 0.00442738 0
0 0 0
0.00192522 0.000374224 -762.925
0.00385043 0.000748449 -990.781
0.00577565 0.00112267 -1114.04
0.00770087 0.0014969 -1188.14
0.00962608 0.00187112 -1231.26
0.0115513 0.00224535 -1218.84
0.0134765 0.00261957 -1138.8
0.0154017 0.00299379 -1010.86
0.017327 0.00336802 -852.832
0.0192522 0.00374224 -661.417
0.0211774 0.00411647 -431.114
0.0231026 0.00449069 -175.295
0.0250278 0.00486492 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00192522 0.000374224 -762.925
0.00385043 0.000748449 -990.781
0.00577565 0.00112267 -1114.04
0.00770087 0.0014969 -1188.14
0.00962608 0.00187112 -1231.26
0.0115513 0.00224535 -1218.84
0.0134765 0.00261957 -1138.8
0.0154017 0.00299379 -1010.86
0.017327 0.00336802 -852.832
0.0192522 0.00374224 -661.417
0.0211774 0.00411647 -431.114
0.0231026 0.00449069 -175.295
0.0250278 0.00486492 0
0 0 0
0.00191839 0.000407767 -778.668
0.00383679 0.000815534 -1007.26
0.00575518 0.0012233 -1131.44
0.00767357 0.00163107 -1204.94
0.00959196 0.00203883 -1245.24
0.0115104 0.0024466 -1227.91
0.0134287 0.00285437 -1141.74
0.0153471 0.00326214 -1007.98
0.0172655 0.0036699 -845.979
0.0191839 0.00407767 -653.321
0.0211023 0.00448544 -424.532
0.0230207 0.0048932 -172.293
0.0249391 0.00530097 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00191839 0.000407767 -778.668
0.00383679 0.000815534 -1007.26
0.00575518 0.0012233 -1131.44
0.00767357 0.00163107 -1204.94
0.00959196 0.00203883 -1245.24
0.0115104 0.0024466 -1227.91
0.0134287 0.00285437 -1141.74
0.0153471 0.00326214 -1007.98
0.0172655 0.0036699 -845.979
0.0191839 0.00407767 -653.321
0.0211023 0.00448544 -424.532
0.0230207 0.0048932 -172.293
0.0249391 0.00530097 0
0 0 0
0.00191098 0.000441185 -794.412
0.00382197 0.000882371 -1023.73
0.00573295 0.00132356 -1148.84
0.00764394 0.00176474 -1221.74
0.00955492 0.00220593 -1259.22
0.0114659 0.00264711 -1236.98
0.0133769 0.0030883 -1144.69
0.0152879 0.00352948 -1005.1
0.0171989 0.00397067 -839.125
0.0191098 0.00441185 -645.226
0.0210208 0.00485304 -417.949
0.0229318 0.00529422 -169.291
0.0248428 0.00573541 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00191098 0.000441185 -794.412
0.00382197 0.000882371 -1023.73
0.00573295 0.00132356 -1148.84
0.00764394 0.00176474 -1221.74
0.00955492 0.00220593 -1259.22
0.0114659 0.00264711 -1236.98
0.0133769 0.0030883 -1144.69
0.0152879 0.00352948 -1005.1
0.0171989 0.00397067 -839.125
0.0191098 0.00441185 -645.226
0.0210208 0.00485304 -417.949
0.0229318 0.00529422 -169.291
0.0248428 0.00573541 0
0 0 0
0.00190299 0.000474469 -810.155
0.00380599 0.000948939 -1040.21
0.00570898 0.00142341 -1166.24
0.00761197 0.00189788 -1238.54
0.00951497 0.00237235 -1273.2
0.011418 0.00284682 -1246.05
0.013321 0.00332129 -1147.63
0.0152239 0.00379576 -1002.22
0.0171269 0.00427023 -832.272
0.0190299 0.00474469 -637.13
0.0209329 0.00521916 -411.367
0.0228359 0.00569363 -166.289
0.0247389 0.0061681 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00190299 0.000474469 -810.155
0.00380599 0.000948939 -1040.21
0.00570898 0.00142341 -1166.24
0.00761197 0.00189788 -1238.54
0.00951497 0.00237235 -1273.2
0.011418 0.00284682 -1246.05
0.013321 0.00332129 -1147.63
0.0152239 0.00379576 -1002.22
0.0171269 0.00427023 -832.272
0.0190299 0.00474469 -637.13
0.0209329 0.00521916 -411.367
0.0228359 0.00569363 -166.289
0.0247389 0.0061681 0
0 0 0
0.00189442 0.000507609 -825.898
0.00378885 0.00101522 -1056.69
0.00568327 0.00152283 -1183.63
0.00757769 0.00203044 -1255.34
0.00947211 0.00253805 -1287.19
0.0113665 0.00304565 -1255.12
0.013261 0.00355326 -1150.57
0.0151554 0.00406087 -999.336
0.0170498 0.00456848 -825.419
0.0189442 0.00507609 -629.035
0.0208386 0.0055837 -404.784
0.0227331 0.00609131 -163.287
0.0246275 0.00659892 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00189442 0.000507609 -825.898
0.00378885 0.00101522 -1056.69
0.00568327 0.00152283 -1183.63
0.00757769 0.00203044 -1255.34
0.00947211 0.00253805 -1287.19
0.0113665 0.00304565 -1255.12
0.013261 0.00355326 -1150.57
0.0151554 0.00406087 -999.336
0.0170498 0.00456848 -825.419
0.0189442 0.00507609 -629.035
0.0208386 0.0055837 -404.784
0.0227331 0.00609131 -163.287
0.0246275 0.00659892 0
0 0 0
0.00188528 0.000540594 -841.642
0.00377055 0.00108119 -1073.16
0.00565583 0.00162178 -1201.03
0.0075411 0.00216238 -1272.14
0.00942638 0.00270297 -1301.17
0.0113117 0.00324356 -1264.19
0.0131969 0.00378416 -1153.52
0.0150822 0.00432475 -996.455
0.0169675 0.00486535 -818.565
0.0188528 0.00540594 -620.939
0.020738 0.00594653 -398.202
0.0226233 0.00648713 -160.284
0.0245086 0.00702772 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00188528 0.000540594 -841.642
0.00377055 0.00108119 -1073.16
0.00565583 0.00162178 -1201.03
0.0075411 0.00216238 -1272.14
0.00942638 0.00270297 -1301.17
0.0113117 0.00324356 -1264.19
0.0131969 0.00378416 -1153.52
0.0150822 0.00432475 -996.455
0.0169675 0.00486535 -818.565
0.0188528 0.00540594 -620.939
0.020738 0.00594653 -398.202
0.0226233 0.00648713 -160.284
0.0245086 0.00702772 0
0 0 0
0.00187555 0.000573414 -857.385
0.00375111 0.00114683 -1089.64
0.00562666 0.00172024 -1218.43
0.00750221 0.00229366 -1288.93
0.00937777 0.00286707 -1315.15
0.0112533 0.00344049 -1273.26
0.0131289 0.0040139 -1156.46
0.0150044 0.00458731 -993.575
0.01688 0.00516073 -811.712
0.0187555 0.00573414 -612.844
0.0206311 0.00630756 -391.619
0.0225066 0.00688097 -157.282
0.0243822 0.00745438 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00187555 0.000573414 -857.385
0.00375111 0.00114683 -1089.64
0.00562666 0.00172024 -1218.43
0.00750221 0.00229366 -1288.93
0.00937777 0.00286707 -1315.15
0.0112533 0.00344049 -1273.26
0.0131289 0.0040139 -1156.46
0.0150044 0.00458731 -993.575
0.01688 0.00516073 -811.712
0.0187555 0.00573414 -612.844
0.0206311 0.00630756 -391.619
0.0225066 0.00688097 -157.282
0.0243822 0.00745438 0
0 0 0
0.00186526 0.00060606 -873.128
0.00373052 0.00121212 -1106.12
0.00559578 0.00181818 -1235.83
0.00746104 0.00242424 -1305.73
0.0093263 0.0030303 -1329.14
0.0111916 0.00363636 -1282.33
0.0130568 0.00424242 -1159.41
0.0149221 0.00484848 -990.695
0.0167873 0.00545454 -804.859
0.0186526 0.0060606 -604.748
0.0205179 0.00666666 -385.037
0.0223831 0.00727272 -154.28
0.0242484 0.00787878 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00186526 0.00060606 -873.128
0.00373052 0.00121212 -1106.12
0.00559578 0.00181818 -1235.83
0.00746104 0.00242424 -1305.73
0.0093263 0.0030303 -1329.14
0.0111916 0.00363636 -1282.33
0.0130568 0.00424242 -1159.41
0.0149221 0.00484848 -990.695
0.0167873 0.00545454 -804.859
0.0186526 0.0060606 -604.748
0.0205179 0.00666666 -385.037
0.0223831 0.00727272 -154.28
0.0242484 0.00787878 0
0 0 0
0.0018544 0.000638521 -888.872
0.0037088 0.00127704 -1122.59
0.0055632 0.00191556 -1253.23
0.0074176 0.00255408 -1322.53
0.00927199 0.0031926 -1343.12
0.0111264 0.00383112 -1291.4
0.0129808 0.00446965 -1162.35
0.0148352 0.00510817 -987.814
0.0166896 0.00574669 -798.006
0.018544 0.00638521 -596.653
0.0203984 0.00702373 -378.454
0.0222528 0.00766225 -151.278
0.0241072 0.00830077 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.0018544 0.000638521 -888.872
0.0037088 0.00127704 -1122.59
0.0055632 0.00191556 -1253.23
0.0074176 0.00255408 -1322.53
0.00927199 0.0031926 -1343.12
0.0111264 0.00383112 -1291.4
0.0129808 0.00446965 -1162.35
0.0148352 0.00510817 -987.814
0.0166896 0.00574669 -798.006
0.018544 0.00638521 -596.653
0.0203984 0.00702373 -378.454
0.0222528 0.00766225 -151.278
0.0241072 0.00830077 0
0 0 0
0.00184297 0.000670787 -904.615
0.00368595 0.00134157 -1139.07
0.00552892 0.00201236 -1270.63
0.00737189 0.00268315 -1339.33
0.00921486 0.00335394 -1357.1
0.0110578 0.00402472 -1300.47
0.0129008 0.00469551 -1165.29
0.0147438 0.0053663 -984.934
0.0165868 0.00603708 -791.152
0.0184297 0.00670787 -588.557
0.0202727 0.00737866 -371.872
0.0221157 0.00804945 -148.276
0.0239586 0.00872023 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00184297 0.000670787 -904.615
0.00368595 0.00134157 -1139.07
0.00552892 0.00201236 -1270.63
0.00737189 0.00268315 -1339.33
0.00921486 0.00335394 -1357.1
0.0110578 0.00402472 -1300.47
0.0129008 0.00469551 -1165.29
0.0147438 0.0053663 -984.934
0.0165868 0.00603708 -791.152
0.0184297 0.00670787 -588.557
0.0202727 0.00737866 -371.872
0.0221157 0.00804945 -148.276
0.0239586 0.00872023 0
0 0 0
0.00183099 0.000702849 -920.358
0.00366197 0.0014057 -1155.55
0.00549296 0.00210855 -1288.03
0.00732394 0.0028114 -1356.13
0.00915493 0.00351425 -1371.09
0.0109859 0.0042171 -1309.53
0.0128169 0.00491995 -1168.24
0.0146479 0.00562279 -982.053
0.0164789 0.00632564 -784.299
0.0183099 0.00702849 -580.462
0.0201408 0.00773134 -365.289
0.0219718 0.00843419 -145.274
0.0238028 0.00913704 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00183099 0.000702849 -920.358
0.00366197 0.0014057 -1155.55
0.00549296 0.00210855 -1288.03
0.00732394 0.0028114 -1356.13
0.00915493 0.00351425 -1371.09
0.0109859 0.0042171 -1309.53
0.0128169 0.00491995 -1168.24
0.0146479 0.00562279 -982.053
0.0164789 0.00632564 -784.299
0.0183099 0.00702849 -580.462
0.0201408 0.00773134 -365.289
0.0219718 0.00843419 -145.274
0.0238028 0.00913704 0
0 0 0
0.00181844 0.000734697 -936.102
0.00363688 0.00146939 -1172.02
0.00545532 0.00220409 -1305.43
0.00727376 0.00293879 -1372.93
0.0090922 0.00367349 -1385.07
0.0109106 0.00440818 -1318.6
0.0127291 0.00514288 -1171.18
0.0145475 0.00587758 -979.173
0.016366 0.00661228 -777.446
0.0181844 0.00734697 -572.366
0.0200028 0.00808167 -358.707
0.0218213 0.00881637 -142.272
0.0236397 0.00955107 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00181844 0.000734697 -936.102
0.00363688 0.00146939 -1172.02
0.00545532 0.00220409 -1305.43
0.00727376 0.00293879 -1372.93
0.0090922 0.00367349 -1385.07
0.0109106 0.00440818 -1318.6
0.0127291 0.00514288 -1171.18
0.0145475 0.00587758 -979.173
0.016366 0.00661228 -777.446
0.0181844 0.00734697 -572.366
0.0200028 0.00808167 -358.707
0.0218213 0.00881637 -142.272
0.0236397 0.00955107 0
0 0 0
0.00180534 0.000766322 -951.845
0.00361068 0.00153264 -1188.5
0.00541602 0.00229896 -1322.83
0.00722136 0.00306529 -1389.72
0.0090267 0.00383161 -1399.05
0.010832 0.00459793 -1327.67
0.0126374 0.00536425 -1174.12
0.0144427 0.00613057 -976.293
0.0162481 0.00689689 -770.592
0.0180534 0.00766322 -564.27
0.0198587 0.00842954 -352.124
0.0216641 0.00919586 -139.27
0.0234694 0.00996218 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00180534 0.000766322 -951.845
0.00361068 0.00153264 -1188.5
0.00541602 0.00229896 -1322.83
0.00722136 0.00306529 -1389.72
0.0090267 0.00383161 -1399.05
0.010832 0.00459793 -1327.67
0.0126374 0.00536425 -1174.12
0.0144427 0.00613057 -976.293
0.0162481 0.00689689 -770.592
0.0180534 0.00766322 -564.27
0.0198587 0.00842954 -352.124
0.0216641 0.00919586 -139.27
0.0234694 0.00996218 0
0 0 0
0.00179169 0.000797712 -967.589
0.00358338 0.00159542 -1204.98
0.00537507 0.00239314 -1340.23
0.00716677 0.00319085 -1406.52
0.00895846 0.00398856 -1413.04
0.0107501 0.00478627 -1336.74
0.0125418 0.00558399 -1177.07
0.0143335 0.0063817 -973.412
0.0161252 0.00717941 -763.739
0.0179169 0.00797712 -556.175
0.0197086 0.00877484 -345.542
0.0215003 0.00957255 -136.268
0.023292 0.0103703 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00179169 0.000797712 -967.589
0.00358338 0.00159542 -1204.98
0.00537507 0.00239314 -1340.23
0.00716677 0.00319085 -1406.52
0.00895846 0.00398856 -1413.04
0.0107501 0.00478627 -1336.74
0.0125418 0.00558399 -1177.07
0.0143335 0.0063817 -973.412
0.0161252 0.00717941 -763.739
0.0179169 0.00797712 -556.175
0.0197086 0.00877484 -345.542
0.0215003 0.00957255 -136.268
0.023292 0.0103703 0
0 0 0
0.0017775 0.00082886 -983.332
0.00355499 0.00165772 -1221.45
0.00533249 0.00248658 -1357.62
0.00710999 0.00331544 -1423.32
0.00888748 0.0041443 -1427.02
0.010665 0.00497316 -1345.81
0.0124425 0.00580202 -1180.01
0.01422 0.00663088 -970.532
0.0159975 0.00745974 -756.886
0.017775 0.0082886 -548.079
0.0195525 0.00911746 -338.959
0.02133 0.00994632 -133.265
0.0231075 0.0107752 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.0017775 0.00082886 -983.332
0.00355499 0.00165772 -1221.45
0.00533249 0.00248658 -1357.62
0.00710999 0.00331544 -1423.32
0.00888748 0.0041443 -1427.02
0.010665 0.00497316 -1345.81
0.0124425 0.00580202 -1180.01
0.01422 0.00663088 -970.532
0.0159975 0.00745974 -756.886
0.017775 0.0082886 -548.079
0.0195525 0.00911746 -338.959
0.02133 0.00994632 -133.265
0.0231075 0.0107752 0
0 0 0
0.00176276 0.000859756 -999.075
0.00352552 0.00171951 -1237.93
0.00528828 0.00257927 -1375.02
0.00705104 0.00343902 -1440.12
0.0088138 0.00429878 -1441
0.0105766 0.00515853 -1354.88
0.0123393 0.00601829 -1182.96
0.0141021 0.00687805 -967.651
0.0158648 0.0077378 -750.033
0.0176276 0.00859756 -539.984
0.0193904 0.00945731 -332.377
0.0211531 0.0103171 -130.263
0.0229159 0.0111768 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00176276 0.000859756 -999.075
0.00352552 0.00171951 -1237.93
0.00528828 0.00257927 -1375.02
0.00705104 0.00343902 -1440.12
0.0088138 0.00429878 -1441
0.0105766 0.00515853 -1354.88
0.0123393 0.00601829 -1182.96
0.0141021 0.00687805 -967.651
0.0158648 0.0077378 -750.033
0.0176276 0.00859756 -539.984
0.0193904 0.00945731 -332.377
0.0211531 0.0103171 -130.263
0.0229159 0.0111768 0
0 0 0
0.00174749 0.000890389 -1014.82
0.00349497 0.00178078 -1254.4
0.00524246 0.00267117 -1392.42
0.00698995 0.00356156 -1456.92
0.00873744 0.00445195 -1454.99
0.0104849 0.00534233 -1363.95
0.0122324 0.00623272 -1185.9
0.0139799 0.00712311 -964.771
0.0157274 0.0080135 -743.179
0.0174749 0.00890389 -531.888
0.0192224 0.00979428 -325.794
0.0209698 0.0106847 -127.261
0.0227173 0.0115751 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00174749 0.000890389 -1014.82
0.00349497 0.00178078 -1254.4
0.00524246 0.00267117 -1392.42
0.00698995 0.00356156 -1456.92
0.00873744 0.00445195 -1454.99
